system:time_start,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
"Jan 1, 2016",0.78,0.672,0.798,0.728,0.673,0.682,0.804,0.738,0.689,0.744,0.263,0.691,0.781,0.642,0.825,0.423,0.757,0.393,0.758,0.685
"Jan 9, 2016",0.761,0.726,0.897,0.728,0.656,0.792,0.86,0.764,0.81,0.715,0.269,0.75,0.898,0.701,0.797,0.462,0.749,0.442,0.837,0.846
"Jan 17, 2016",0.764,0.599,0.38,0.536,0.648,0.73,0.8,0.727,0.756,0.353,0.224,0.741,0.78,0.747,0.785,0.646,0.696,0.542,0.71,0.758
"Jan 25, 2016",0.715,0.833,0.913,0.873,0.64,0.75,0.935,0.907,0.888,0.878,0.243,0.866,0.91,0.686,0.709,0.61,0.72,0.538,0.866,0.904
"Feb 2, 2016",0.851,0.796,0.88,0.698,0.74,0.783,0.872,0.853,0.715,0.861,0.175,0.853,0.868,0.718,0.819,0.48,0.765,0.419,0.848,0.837
"Feb 10, 2016",0.793,0.765,0.824,0.76,0.618,0.694,0.781,0.798,0.75,0.789,0.192,0.59,0.792,0.666,0.774,0.568,0.705,0.431,0.766,0.745
"Feb 26, 2016",0.792,0.759,0.816,0.746,0.62,0.752,0.786,0.811,0.766,0.802,0.253,0.742,0.817,0.631,0.759,0.43,0.667,0.509,0.785,0.79
"Mar 5, 2016",0.801,0.734,0.802,0.753,0.595,0.726,0.806,0.817,0.743,0.789,0.247,0.795,0.821,0.705,0.744,0.422,0.721,0.463,0.804,0.778
"Mar 13, 2016",0.78,0.67,0.739,0.687,0.565,0.689,0.755,0.753,0.677,0.762,0.203,0.763,0.782,0.686,0.688,0.438,0.617,0.482,0.768,0.714
"Mar 21, 2016",0.701,0.695,0.686,0.574,0.479,0.662,0.693,0.624,0.512,0.618,0.208,0.528,0.722,0.537,0.581,0.427,0.507,0.376,0.713,0.676
"Mar 29, 2016",0.415,0.371,0.344,0.36,0.338,0.341,0.337,0.387,0.339,0.379,0.186,0.366,0.365,0.375,0.441,0.261,0.396,0.329,0.363,0.369
"Apr 6, 2016",0.303,0.296,0.272,0.29,0.271,0.269,0.282,0.284,0.277,0.278,0.194,0.284,0.295,0.31,0.302,0.255,0.39,0.342,0.276,0.262
"Apr 14, 2016",0.211,0.245,0.21,0.232,0.232,0.211,0.207,0.217,0.225,0.208,0.165,0.241,0.219,0.252,0.235,0.209,0.255,0.277,0.218,0.211
"Apr 22, 2016",0.228,0.227,0.176,0.212,0.225,0.214,0.202,0.209,0.2,0.188,0.158,0.212,0.22,0.238,0.244,0.222,0.351,0.292,0.228,0.211
"Apr 30, 2016",0.195,0.23,0.205,0.207,0.189,0.232,0.186,0.212,0.206,0.203,0.149,0.211,0.198,0.212,0.209,0.199,0.267,0.271,0.195,0.226
