system:time_start,ndvi
"Jan 1, 2016",0.78
"Jan 9, 2016",0.761
"Jan 17, 2016",0.764
"Jan 25, 2016",0.715
"Feb 2, 2016",0.851
"Feb 10, 2016",0.793
"Feb 26, 2016",0.792
"Mar 5, 2016",0.801
"Mar 13, 2016",0.78
"Mar 21, 2016",0.701
"Mar 29, 2016",0.415
"Apr 6, 2016",0.303
"Apr 14, 2016",0.211
"Apr 22, 2016",0.228
"Apr 30, 2016",0.195
"May 8, 2016",0.209
"May 16, 2016",0.228
"May 24, 2016",0.189
"Jun 1, 2016",0.253
"Jun 9, 2016",0.242
"Jun 17, 2016",0.223
"Jun 25, 2016",0.256
"Jul 3, 2016",0.297
"Jul 11, 2016",0.212
"Jul 19, 2016",0.748
"Jul 27, 2016",0.759
"Aug 4, 2016",0.768
"Aug 12, 2016",0.624
"Aug 20, 2016",0.832
"Aug 28, 2016",0.862
"Sep 5, 2016",0.776
"Sep 13, 2016",0.67
"Sep 21, 2016",0.764
"Sep 29, 2016",0.519
"Oct 7, 2016",0.482
"Oct 15, 2016",0.35
"Oct 23, 2016",0.289
"Oct 31, 2016",0.177
"Nov 8, 2016",0.168
"Nov 16, 2016",0.216
"Nov 24, 2016",0.312
"Dec 2, 2016",0.396
"Dec 10, 2016",0.512
"Dec 18, 2016",0.679
"Dec 26, 2016",0.712
